(1, 0, 1, 1, [60, 63, 67, 72])
(1, 1, 2, 1, [58, 62, 67, 67])
(1, 2, 3, 1, [56, 63, 68, 72])
(1, 3, 4, 1, [53, 65, 68, 74])
(2, 4, 1, 1, [55, 58, 67, 75])
(2, 5, 2, 1, [57, 60, 65, 72])
(2, 6, 3, 2, [58, 58, 65, 74])
(3, 8, 1, 0.5, [55, 62, 67, 70])
(3, 8.5, 1.5, 0.5, [53, -62, -67, -70])
(3, 9, 2, 0.5, [51, 63, 67, 70])
(3, 9.5, 2.5, 0.5, [50, -63, 65, -70])
(3, 10, 3, 0.5, [48, 55, 63, 70])
(3, 10.5, 3.5, 0.5, [-48, 53, -63, -70])
(3, 11, 4, 0.5, [-48, 51, 63, 68])
(3, 11.5, 4.5, 0.5, [46, -51, 62, 67])
(4, 12, 1, 0.5, [44, 51, 60, 65])
(4, 12.5, 1.5, 0.5, [-44, -51, 59, -65])
(4, 13, 2, 0.5, [-44, 50, 60, -65])
(4, 13.5, 2.5, 0.5, [-44, 48, -60, -65])
(4, 14, 3, 2, [43, 50, 59, 67])
(5, 16, 1, 1, [51, 55, 67, 72])
(5, 17, 2, 0.5, [52, 60, 67, 67])
(5, 17.5, 2.5, 0.5, [-52, 58, -67, -67])
(5, 18, 3, 0.5, [53, 56, 65, 72])
(5, 18.5, 3.5, 0.5, [-53, -56, 63, -72])
(5, 19, 4, 1, [54, 57, 62, 74])
(6, 20, 1, 0.5, [55, 59, 67, 75])
(6, 20.5, 1.5, 0.5, [-55, -59, 65, -75])
(6, 21, 2, 0.5, [56, 60, 63, 72])
(6, 21.5, 2.5, 0.5, [55, 58, -63, -72])
(6, 22, 3, 2, [54, 57, 62, 74])
(7, 24, 1, 0.5, [55, 58, 62, 70])
(7, 24.5, 1.5, 0.5, [-55, 60, -62, -70])
(7, 25, 2, 1, [53, 61, 67, 70])
(7, 26, 3, 1, [52, 60, 67, 70])
(7, 27, 4, 0.5, [53, 60, 65, 68])
(7, 27.5, 4.5, 0.5, [51, -60, 67, 67])
(8, 28, 1, 0.5, [49, 60, 68, 65])
(8, 28.5, 1.5, 0.5, [-49, 56, -68, -65])
(8, 29, 2, 0.5, [-49, 55, 70, -65])
(8, 29.5, 2.5, 0.5, [-49, 53, -70, -65])
(8, 30, 3, 2, [48, 60, 64, 67])
(9, 32, 1, 0.5, [60, 60, 67, 75])
(9, 32.5, 1.5, 0.5, [58, -60, -67, -75])
(9, 33, 2, 0.5, [57, 60, 65, 75])
(9, 33.5, 2.5, 0.5, [53, -60, -65, -75])
(9, 34, 3, 0.5, [58, 58, 65, 74])
(9, 34.5, 3.5, 0.5, [56, -58, -65, -74])
(9, 35, 4, 0.5, [55, 58, 67, 74])
(9, 35.5, 4.5, 0.5, [53, -58, -67, -74])
(10, 36, 1, 0.5, [52, 58, 67, 72])
(10, 36.5, 1.5, 0.25, [-52, 57, -67, -72])
(10, 36.75, 1.75, 0.25, [-52, 55, -67, -72])
(10, 37, 2, 1, [54, 57, 62, 74])
(10, 38, 3, 2, [55, 62, 67, 71])
(11, 40, 1, 1, [53, 59, 62, 67])
(11, 41, 2, 1, [51, 60, 67, 69])
(11, 42, 3, 1, [50, 62, 65, 71])
(11, 43, 4, 1, [48, 63, 67, 72])
(12, 44, 1, 1, [55, 62, 67, 72])
(12, 45, 2, 0.5, [43, -62, -67, 71])
(12, 45.5, 2.5, 0.5, [-43, -62, 65, -71])
(12, 46, 3, 2, [44, 60, 63, 72])
(13, 48, 1, 1, [43, 58, 67, 75])
(13, 49, 2, 1, [45, 60, 65, 75])
(13, 50, 3, 0.5, [46, 58, 65, 74])
(13, 50.5, 3.5, 0.5, [-46, 56, -65, -74])
(13, 51, 4, 1, [47, 55, 65, 74])
(14, 52, 1, 1, [48, 55, 63, 72])
(14, 53, 2, 1, [41, 56, 65, 74])
(14, 54, 3, 2, [53, 55, 62, 71])
(15, 56, 1, 1, [51, 60, 63, 67])
(15, 57, 2, 0.5, [50, 60, 63, 69])
(15, 57.5, 2.5, 0.5, [48, -60, -63, -69])
(15, 58, 3, 1, [50, 53, 62, 71])
(15, 59, 4, 0.5, [51, 55, 60, 72])
(15, 59.5, 4.5, 0.5, [53, 56, 62, -72])
(16, 60, 1, 0.5, [55, 55, 63, 72])
(16, 60.5, 1.5, 0.25, [-55, -55, 62, -72])
(16, 60.75, 1.75, 0.25, [-55, -55, 60, -72])
(16, 61, 2, 1, [43, -55, 62, 71])
(16, 62, 3, 2, [48, 55, 64, 72])
