(1, 0, 1, 0.5, [60, 64, 67, 72])
(1, 0.5, 1.5, 0.5, [62, 65, 65, -72])
(1, 1, 2, 0.5, [64, 67, 64, 72])
(1, 1.5, 2.5, 0.5, [62, 65, 65, -72])
(1, 2, 3, 0.5, [60, 64, 67, 72])
(1, 2.5, 3.5, 0.5, [62, 65, -67, -72])
(1, 3, 4, 0.5, [60, 64, 67, 67])
(1, 3.5, 4.5, 0.5, [59, 62, -67, -67])
(2, 4, 1, 0.25, [57, 64, 69, 72])
(2, 4.25, 1.25, 0.25, [-57, -64, 71, -72])
(2, 4.5, 1.5, 0.5, [55, -64, 72, -72])
(2, 5, 2, 0.5, [53, 69, -72, 74])
(2, 5.5, 2.5, 0.5, [55, 67, 71, -74])
(2, 6, 3, 2, [48, 67, 72, 76])
(3, 8, 1, 0.5, [60, 64, 67, 72])
(3, 8.5, 1.5, 0.5, [59, 62, -67, 74])
(3, 9, 2, 0.5, [60, 64, 67, 76])
(3, 9.5, 2.5, 0.5, [57, -64, 72, 78])
(3, 10, 3, 0.5, [59, 62, 71, 79])
(3, 10.5, 3.5, 0.5, [57, -62, -71, -79])
(3, 11, 4, 0.5, [55, 67, 74, 83])
(3, 11.5, 4.5, 0.25, [57, -67, -74, -83])
(3, 11.75, 4.75, 0.25, [59, -67, -74, -83])
(4, 12, 1, 0.5, [60, -67, 76, 81])
(4, 12.5, 1.5, 0.25, [57, 66, 72, -81])
(4, 12.75, 1.75, 0.25, [-57, 64, -72, -81])
(4, 13, 2, 0.5, [62, 66, 69, -81])
(4, 13.5, 2.5, 0.25, [-62, -66, 74, -81])
(4, 13.75, 2.75, 0.25, [-62, -66, 72, -81])
(4, 14, 3, 2, [55, 62, 71, 79])
(5, 16, 1, 0.5, [65, 65, 72, 81])
(5, 16.5, 1.5, 0.5, [-65, -65, 69, -81])
(5, 17, 2, 0.5, [-65, 67, 71, 79])
(5, 17.5, 2.5, 0.5, [64, -67, 73, -79])
(5, 18, 3, 0.5, [62, 69, 74, 77])
(5, 18.5, 3.5, 0.5, [-62, 67, -74, -77])
(5, 19, 4, 0.5, [-62, 65, 69, 81])
(5, 19.5, 4.5, 0.5, [60, 64, -69, -81])
(6, 20, 1, 0.5, [58, 62, 74, 79])
(6, 20.5, 1.5, 0.5, [-58, 64, 73, -79])
(6, 21, 2, 0.5, [-58, 65, 74, 77])
(6, 21.5, 2.5, 0.25, [57, 67, -74, -77])
(6, 21.75, 2.75, 0.25, [-57, 69, -74, -77])
(6, 22, 3, 0.5, [55, 70, -74, 76])
(6, 22.5, 3.5, 0.25, [52, 67, 73, -76])
(6, 22.75, 3.75, 0.25, [-52, -67, 71, -76])
(6, 23, 4, 0.5, [57, 64, 73, -76])
(6, 23.5, 4.5, 0.25, [-57, 69, -73, -76])
(6, 23.75, 4.75, 0.25, [-57, 67, -73, -76])
(7, 24, 1, 2, [50, 65, 69, 74])
(7, 26, 3, 0.5, [50, 65, 69, 74])
(7, 26.5, 3.5, 0.5, [53, -65, -69, -74])
(7, 27, 4, 0.5, [57, 64, 69, 73])
(7, 27.5, 4.5, 0.5, [55, -64, -69, -73])
(8, 28, 1, 0.5, [53, 65, 69, 74])
(8, 28.5, 1.5, 0.5, [52, -65, -69, -74])
(8, 29, 2, 0.5, [50, 64, 69, 76])
(8, 29.5, 2.5, 0.5, [49, -64, -69, -76])
(8, 30, 3, 0.5, [50, -64, 69, 77])
(8, 30.5, 3.5, 0.25, [52, 62, -69, -77])
(8, 30.75, 3.75, 0.25, [-52, 61, -69, -77])
(8, 31, 4, 0.5, [53, 62, 69, 77])
(8, 31.5, 4.5, 0.5, [55, -62, -69, -77])
(9, 32, 1, 1, [57, -62, 69, 76])
(9, 33, 2, 1, [-57, 61, -69, -76])
(9, 34, 3, 0.5, [57, 64, 69, 72])
(9, 34.5, 3.5, 0.25, [53, 65, -69, -72])
(9, 34.75, 3.75, 0.25, [-53, 64, -69, -72])
(9, 35, 4, 0.5, [58, 62, -69, 74])
(9, 35.5, 4.5, 0.25, [-58, -62, 67, -74])
(9, 35.75, 4.75, 0.25, [-58, -62, 65, -74])
(10, 36, 1, 0.5, [-58, 60, 67, 76])
(10, 36.5, 1.5, 0.5, [57, 64, 72, -76])
(10, 37, 2, 0.25, [62, 62, -72, 77])
(10, 37.25, 2.25, 0.25, [-62, 64, -72, -77])
(10, 37.5, 2.5, 0.25, [60, 65, 70, -77])
(10, 37.75, 2.75, 0.25, [-60, -65, 69, -77])
(10, 38, 3, 0.5, [58, 67, 74, 77])
(10, 38.5, 3.5, 0.5, [55, -67, -74, -77])
(10, 39, 4, 0.5, [60, -67, 72, 76])
(10, 39.5, 4.5, 0.5, [-60, 70, -72, -76])
(11, 40, 1, 2, [53, 69, 72, 77])
(11, 42, 3, 0.5, [53, 67, 72, 79])
(11, 42.5, 3.5, 0.5, [55, -67, -72, -79])
(11, 43, 4, 0.5, [57, 62, 71, -79])
(11, 43.5, 4.5, 0.5, [-57, -62, -71, 77])
(12, 44, 1, 0.5, [48, 60, 67, 76])
(12, 44.5, 1.5, 0.5, [60, -60, -67, -76])
(12, 45, 2, 0.5, [-60, 62, 67, 74])
(12, 45.5, 2.5, 0.5, [59, -62, -67, -74])
(12, 46, 3, 0.5, [57, 64, 69, 72])
(12, 46.5, 3.5, 0.5, [55, 65, 71, 74])
(12, 47, 4, 0.5, [53, 67, 72, 76])
(12, 47.5, 4.5, 0.5, [52, -67, -72, -76])
(13, 48, 1, 0.5, [53, 69, -72, 74])
(13, 48.5, 1.5, 0.25, [50, 65, 71, -74])
(13, 48.75, 1.75, 0.25, [-50, -65, 69, -74])
(13, 49, 2, 0.5, [55, 62, 71, -74])
(13, 49.5, 2.5, 0.25, [-55, 67, -71, -74])
(13, 49.75, 2.75, 0.25, [-55, 65, -71, -74])
(13, 50, 3, 2, [48, 64, 67, 72])
