(1, 0, 1, 0.75, [60, 72])
(1, 0.75, 1.75, 0.25, [57, 69])
(1, 1, 2, 0.5, [50, 62])
(1, 1.5, 2.5, 0.25, [48, 60])
(1, 1.75, 2.75, 0.25, [50, 62])
(2, 2, 1, 0.5, [52, 64])
(2, 2.5, 1.5, 1, [53, 65])
(2, 3.5, 2.5, 0.5, [55, 67])
(3, 4, 1, 0.5, [52, 64])
(3, 4.5, 1.5, 0.25, [50, 62])
(3, 4.75, 1.75, 0.25, [52, 64])
(3, 5, 2, 0.25, [53, 65])
(3, 5.25, 2.25, 0.5, [57, 69])
(3, 5.75, 2.75, 0.25, [56, 68])
(4, 6, 1, 1, [55, 67])
(4, 7, 2, 0.5, [43, 55, 67, 71, 79])
(4, 7.5, 2.5, 0.5, [0, 0])
(5, 8, 1, 0.25, [55, 48, 60, 64])
(5, 8.25, 1.25, 0.25, [-55, -48, 62, 65])
(5, 8.5, 1.5, 0.25, [-55, -48, 64, 67])
(5, 8.75, 1.75, 0.25, [54, -48, 63, 69])
(5, 9, 2, 0.25, [60, -48, -63, -69])
(5, 9.25, 2.25, 0.25, [-60, -48, 66, 75])
(5, 9.5, 2.5, 0.25, [55, -48, 67, 76])
(5, 9.75, 2.75, 0.25, [-55, -48, 64, 72])
(6, 10, 1, 0.5, [56, 48, 74, 65])
(6, 10.5, 1.5, 0.25, [-56, -48, 74, -65])
(6, 10.75, 1.75, 0.25, [-56, -48, 76, -65])
(6, 11, 2, 0.25, [-56, -48, 74, -65])
(6, 11.25, 2.25, 0.25, [-56, -48, 72, -65])
(6, 11.5, 2.5, 0.25, [56, -48, 62, 60])
(6, 11.75, 2.75, 0.25, [-56, -48, 65, -60])
(7, 12, 1, 0.25, [55, 48, 60, 64])
(7, 12.25, 1.25, 0.25, [-55, -48, 62, 65])
(7, 12.5, 1.5, 0.25, [-55, -48, 64, 67])
(7, 12.75, 1.75, 0.25, [54, -48, 63, 69])
(7, 13, 2, 0.25, [60, -48, -63, -69])
(7, 13.25, 2.25, 0.25, [-60, -48, 66, 75])
(7, 13.5, 2.5, 0.25, [55, -48, 67, 76])
(7, 13.75, 2.75, 0.25, [-55, -48, 64, 72])
(8, 14, 1, 0.5, [48, 56, 74, 65])
(8, 14.5, 1.5, 0.25, [-48, -56, 76, -65])
(8, 14.75, 1.75, 0.25, [-48, -56, 74, -65])
(8, 15, 2, 0.25, [-48, -56, 72, -65])
(8, 15.25, 2.25, 0.25, [-48, -56, 74, -65])
(8, 15.5, 2.5, 0.25, [48, 55, 76, 64])
(8, 15.75, 2.75, 0.25, [-48, -55, 67, -64])
(9, 16, 1, 0.25, [47, 59, 68, 64])
(9, 16.25, 1.25, 0.25, [-47, -59, 64, -64])
(9, 16.5, 1.5, 0.25, [56, 62, 64, 71, -64])
(9, 16.75, 1.75, 0.25, [-56, -62, -64, 76, 68])
(9, 17, 2, 0.25, [40, 52, -76, -68])
(9, 17.25, 2.25, 0.25, [-40, -52, 77, -68])
(9, 17.5, 2.5, 0.5, [38, 50, 76, 68])
(10, 18, 1, 0.25, [36, 48, 69, 64])
(10, 18.25, 1.25, 0.25, [-36, -48, 64, -64])
(10, 18.5, 1.5, 0.25, [57, 60, 64, 72, -64])
(10, 18.75, 1.75, 0.25, [-57, -60, -64, 76, 69, 72])
(10, 19, 2, 0.25, [45, 57, -76, -69, -72])
(10, 19.25, 2.25, 0.25, [-45, -57, 77, -69, -72])
(10, 19.5, 2.5, 0.5, [43, 55, 76, 69, 72])
(11, 20, 1, 0.25, [42, 54, 76, 72])
(11, 20.25, 1.25, 0.25, [-42, -54, 74, -72])
(11, 20.5, 1.5, 0.25, [54, 60, 62, 78, -72])
(11, 20.75, 1.75, 0.25, [-54, -60, -62, 83, 74, 78])
(11, 21, 2, 0.25, [38, 50, 0, -74, -78, -83])
(11, 21.25, 2.25, 0.25, [-38, -50, 0, 76, 78, 84])
(11, 21.5, 2.5, 0.25, [54, 60, 62, 0, 74, 78, 83])
(11, 21.75, 2.75, 0.25, [-54, -60, -62, 0, 72, 78, 81])
(12, 22, 1, 0.25, [43, 55, 71, 77, 81])
(12, 22.25, 1.25, 0.25, [-43, -55, 79])
(12, 22.5, 1.5, 0.25, [55, 59, 62, 77])
(12, 22.75, 1.75, 0.25, [-55, -59, -62, 74])
(12, 23, 2, 0.25, [47, 65, 67, 76])
(12, 23.25, 2.25, 0.25, [-47, 74])
(12, 23.5, 2.5, 0.25, [55, 59, 62, 67])
(12, 23.75, 2.75, 0.25, [-55, -59, -62, 65])
(13, 24, 1, 0.25, [55, 48, 60, 64])
(13, 24.25, 1.25, 0.25, [-55, -48, 62, 65])
(13, 24.5, 1.5, 0.25, [-55, -48, 64, 67])
(13, 24.75, 1.75, 0.25, [54, -48, 63, 69])
(13, 25, 2, 0.25, [60, -48, -63, -69])
(13, 25.25, 2.25, 0.25, [-60, -48, 66, 75])
